chrom	start	end	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B
38	chr1	6962140	6962650	3	19	3	30	12	13	1	3	3	1	4	1
39	chr1	6968590	6969090	0	2	0	0	1	0	16	16	1	2	30	43
40	chr1	6969110	6969390	1	0	0	0	0	0	7	6	1	1	26	25
41	chr1	7117430	7118340	22	34	16	31	25	22	60	36	36	46	33	82
42	chr1	7265670	7266560	41	82	71	88	42	48	2	0	1	1	1	1
43	chr1	7298630	7300060	73	179	103	202	44	67	15	17	26	53	4	17
44	chr1	7301480	7301900	10	24	9	30	6	5	0	1	1	4	2	1
45	chr1	7313000	7313310	1	1	0	1	0	0	2	3	7	5	0	2
46	chr1	7335270	7335750	7	18	10	18	1	1	0	1	0	0	0	1
47	chr1	7401870	7402380	0	6	4	7	3	2	0	0	0	0	0	0
48	chr1	7470760	7471500	18	36	38	27	9	12	13	5	9	12	1	4
49	chr1	7478930	7479170	2	9	6	6	5	1	0	0	0	0	0	0
50	chr1	7549320	7549770	4	13	4	23	4	1	4	2	3	4	0	5
51	chr1	7549870	7550160	7	12	6	11	3	4	4	3	1	2	1	2
52	chr1	7648900	7649340	0	0	0	0	5	1	2	0	0	0	3	6
53	chr1	7953810	7954630	62	198	99	249	135	183	39	42	22	48	19	56
54	chr1	8004480	8005370	88	209	60	118	383	441	32	24	12	22	15	38
55	chr1	8061330	8062200	25	41	23	33	57	73	7	11	1	5	4	2
56	chr1	8070440	8070870	0	7	2	7	12	13	2	1	0	0	1	1
57	chr1	8075230	8076120	0	0	0	2	15	8	31	29	2	0	13	38
58	chr1	8077120	8077710	5	11	2	9	26	23	60	76	19	15	27	42
59	chr1	8077790	8078650	4	6	0	9	24	26	125	102	24	37	35	114
60	chr1	8083690	8084050	9	5	5	10	14	11	13	12	2	3	5	8
61	chr1	8089800	8090350	1	2	0	0	10	3	71	46	8	20	15	43
62	chr1	8094610	8095400	9	37	18	28	36	35	17	29	4	25	7	13
63	chr1	8118180	8118660	3	5	0	2	3	6	31	40	17	49	13	40
64	chr1	8120720	8121800	39	50	20	52	87	59	151	79	22	49	38	85
65	chr1	8137450	8138340	5	16	8	13	22	29	43	26	4	11	22	48
66	chr1	8147770	8148230	6	8	1	6	16	8	1	1	0	1	1	1
67	chr1	8154570	8155250	4	11	3	10	22	15	20	9	1	6	16	22
68	chr1	8155290	8155900	4	11	3	4	27	15	47	18	9	6	9	31
69	chr1	8169820	8170390	9	17	2	8	24	17	1	1	0	2	4	1
70	chr1	8182060	8182910	18	14	0	12	28	19	29	33	1	6	10	32
71	chr1	8184140	8184550	2	3	0	2	6	13	4	6	0	0	7	17
72	chr1	8194370	8195170	20	21	7	27	34	27	10	6	2	1	7	6
73	chr1	8197870	8198190	3	14	4	9	12	10	18	21	4	7	7	14
74	chr1	8201640	8202580	14	28	6	27	70	56	86	88	16	4	63	164
75	chr1	8211170	8212620	31	43	12	29	68	99	210	181	70	170	98	316
76	chr1	8238020	8238650	13	17	11	23	43	34	0	0	0	0	1	0
77	chr1	8238670	8239020	3	10	0	2	51	43	1	0	0	0	0	0
78	chr1	8259210	8259790	0	2	0	0	10	18	10	4	0	0	7	13
79	chr1	8343140	8344230	35	79	15	71	125	120	50	73	19	32	40	72
80	chr1	8396090	8397460	5	27	7	26	16	14	82	88	9	20	50	220
81	chr1	8626610	8627130	5	10	4	15	8	3	16	16	8	21	5	15
82	chr1	8702920	8703760	68	210	88	225	99	115	118	157	41	152	42	162
83	chr1	8873570	8874180	88	196	70	178	96	111	108	106	45	158	35	97
84	chr1	8880160	8881080	80	183	96	169	100	120	36	48	38	63	22	32
85	chr1	8889810	8890610	26	85	60	77	41	44	38	38	41	59	6	28
86	chr1	8903830	8904360	16	20	42	38	15	21	14	16	10	24	3	8
87	chr1	8947210	8947610	0	0	0	0	0	0	1	2	0	0	7	12
88	chr1	8986320	8986580	0	2	4	0	0	0	3	0	2	2	1	2
89	chr1	8986600	8986910	0	1	0	1	0	1	1	2	1	6	0	7
90	chr1	9145240	9145580	24	83	28	90	39	41	17	16	22	26	10	21
91	chr1	9162740	9163340	39	106	33	110	46	45	3	10	6	10	3	8
92	chr1	9163570	9163840	36	64	66	72	46	32	14	7	13	15	8	8
93	chr1	9180250	9180650	13	38	16	47	12	18	28	18	8	36	6	14
94	chr1	9181280	9183410	111	331	152	385	159	203	199	160	161	233	75	200
95	chr1	9267100	9267470	9	25	5	20	18	13	13	8	10	12	6	26
96	chr1	9280270	9280900	2	13	10	18	9	12	25	22	13	23	9	24
97	chr1	9281870	9282320	1	12	8	5	6	5	14	7	8	11	11	23
98	chr1	9294230	9294840	17	36	16	39	32	17	21	29	11	30	5	33
99	chr1	9302980	9303520	19	42	27	31	31	40	52	33	18	32	19	39
100	chr1	9384690	9385170	1	2	0	2	1	1	18	17	13	17	3	32
101	chr1	9400660	9401080	13	18	10	10	7	16	8	8	4	14	2	1
102	chr1	9401800	9402170	6	4	5	8	2	2	0	4	1	4	0	0
103	chr1	9413050	9413990	26	64	18	68	49	41	44	60	32	80	14	85
104	chr1	9428660	9429480	26	81	32	105	53	57	55	73	32	61	29	106
105	chr1	9438340	9439210	11	18	8	14	24	24	35	27	6	24	31	84
106	chr1	9441600	9442030	0	0	0	1	0	0	20	26	5	19	5	48
107	chr1	9443840	9444760	0	0	0	0	0	0	54	62	14	29	52	136
108	chr1	9482750	9483480	0	1	0	0	0	0	0	1	0	0	7	23
109	chr1	9627030	9627500	1	0	1	2	0	3	1	1	1	3	4	3
110	chr1	9686940	9687890	14	29	31	29	24	21	66	84	66	56	35	136
111	chr1	9699780	9700660	3	2	4	4	3	5	35	54	6	20	22	59
112	chr1	9766720	9767150	2	7	3	1	2	1	5	7	7	11	1	12
113	chr1	9881780	9882310	1	9	1	4	1	2	7	3	3	5	12	31
114	chr1	9890400	9890960	0	4	4	2	5	2	14	16	12	34	11	45
115	chr1	9893220	9893590	3	1	2	1	0	0	13	8	7	17	14	32
116	chr1	10108250	10108890	2	6	3	5	1	4	39	36	6	36	11	40
117	chr1	10108910	10109350	2	3	0	1	2	0	11	35	3	12	6	40
118	chr1	10378490	10378960	28	83	26	122	72	88	0	2	0	1	1	6
119	chr1	10389260	10389550	7	25	12	32	23	39	2	3	5	2	3	2
120	chr1	10415050	10415690	51	163	48	166	92	111	5	10	6	23	2	18
121	chr1	10528150	10529170	14	16	9	20	12	11	121	82	40	103	28	68
122	chr1	10530280	10531450	8	25	6	28	18	16	256	208	111	298	53	170
123	chr1	10598580	10599720	18	46	18	44	20	30	46	35	10	57	10	49
124	chr1	10824960	10825350	0	2	0	3	1	0	10	5	3	14	2	7
125	chr1	10835850	10836230	0	0	0	0	0	0	11	14	12	17	4	21
126	chr1	10866910	10867550	1	1	1	4	4	2	14	9	10	12	5	19
127	chr1	11569570	11570420	0	0	1	0	0	1	15	13	2	0	11	47
128	chr1	11650450	11650690	3	10	7	12	4	6	1	3	0	2	0	4
129	chr1	11719410	11720120	1	3	6	4	0	3	11	11	13	19	6	21
130	chr1	11907970	11909350	192	575	339	574	275	473	861	789	612	954	317	856
131	chr1	11909520	11910040	78	171	72	211	66	137	248	205	135	219	74	280
132	chr1	11918920	11919300	2	19	9	21	9	7	10	13	5	18	7	11
133	chr1	11938750	11939440	4	8	4	12	11	4	16	21	10	11	13	43
134	chr1	12184150	12184740	9	21	13	31	19	6	2	3	1	4	2	3
135	chr1	12192040	12192630	1	0	0	0	1	0	1	0	1	2	9	6
136	chr1	12433560	12434040	7	35	11	28	14	14	1	3	1	4	4	2
137	chr1	12477780	12478650	36	76	45	74	57	58	16	16	8	16	7	15
138	chr1	12540100	12540790	9	36	21	36	23	19	0	1	2	2	1	1
139	chr1	12556550	12556900	2	2	2	2	2	1	14	10	4	6	4	2
140	chr1	12593520	12594160	46	138	63	122	79	93	0	0	1	1	0	0
141	chr1	12619730	12620080	30	70	45	92	34	50	9	4	1	2	8	13
142	chr1	12636430	12636900	0	1	0	1	1	3	5	11	1	4	9	30
143	chr1	13542140	13542490	0	0	0	0	0	0	0	0	0	0	2	5
144	chr1	13593580	13593980	5	8	1	12	9	6	2	2	4	1	1	1
145	chr1	14303670	14303960	0	0	0	0	0	0	2	4	0	0	3	4
146	chr1	14440900	14441350	0	0	0	0	0	0	20	3	12	16	3	6
147	chr1	14486740	14487410	0	1	2	0	0	0	20	11	15	33	1	4
148	chr1	14487590	14487960	0	0	0	0	1	0	11	4	10	19	0	6
149	chr1	14742080	14743140	8	12	5	11	11	11	39	51	40	64	10	32
150	chr1	14765840	14766230	4	2	3	4	1	1	1	1	0	1	1	1
151	chr1	15158750	15159070	5	16	8	18	5	13	2	1	1	1	0	1
152	chr1	15168520	15168880	25	25	9	32	39	19	2	8	1	8	3	11
153	chr1	15189520	15189890	11	30	18	19	5	20	2	1	3	3	1	2
154	chr1	15201880	15202250	19	17	35	22	20	12	1	3	1	5	0	5
155	chr1	15261290	15261640	3	12	7	10	3	4	5	3	1	6	2	8
156	chr1	15337720	15338340	0	2	2	3	4	1	25	15	13	24	3	21
157	chr1	15354180	15354430	3	5	0	3	5	3	0	2	0	0	1	0
158	chr1	15416250	15416560	15	28	11	31	35	26	7	11	11	23	3	12
159	chr1	15417330	15417800	8	45	16	48	21	24	6	23	4	36	2	12
160	chr1	15603360	15603930	33	57	33	97	64	46	25	30	12	19	12	42
161	chr1	15797650	15798040	19	48	15	41	38	44	63	92	17	71	10	44
162	chr1	15799200	15801340	245	471	196	439	535	437	222	165	60	133	37	124
163	chr1	15832960	15833390	9	47	6	43	31	24	50	56	21	52	11	43
164	chr1	15834310	15836500	333	933	510	1098	641	789	551	726	453	815	314	881
165	chr1	15849190	15849720	33	110	32	89	33	50	52	54	20	80	13	55
166	chr1	15849780	15850320	28	41	26	53	38	37	52	45	27	48	16	42
167	chr1	15886150	15886670	16	44	18	47	30	31	17	15	5	22	4	19
168	chr1	16012520	16013800	24	70	45	107	66	77	45	80	41	60	24	54
169	chr1	16075980	16076370	15	32	28	35	23	25	2	1	2	2	0	1
170	chr1	16076690	16077260	5	22	12	25	10	13	0	0	0	0	0	1
171	chr1	16143780	16144840	105	260	94	301	104	97	358	409	274	535	75	195
172	chr1	16146380	16146750	37	92	61	141	36	52	131	106	132	239	40	61
173	chr1	16167210	16168090	48	149	71	135	82	78	18	22	16	24	8	16
174	chr1	16173100	16173850	48	143	35	132	52	72	121	150	60	145	31	92
175	chr1	16175780	16176510	19	68	28	61	21	34	30	32	24	30	7	14
176	chr1	16178540	16178850	11	53	14	53	9	15	1	2	0	4	1	6
177	chr1	16181640	16182590	42	162	75	165	61	85	109	131	44	121	26	110
178	chr1	16188980	16189390	2	16	6	14	8	16	0	3	3	6	0	1
179	chr1	16206380	16207880	107	300	202	332	235	269	344	318	306	335	161	375
180	chr1	16250610	16251190	1	3	3	10	1	4	14	9	3	8	5	24
181	chr1	16251200	16251490	1	2	5	0	1	2	6	9	2	4	8	15
182	chr1	16498910	16500010	26	96	37	82	63	79	64	61	42	61	38	123
183	chr1	16513930	16514280	25	49	8	66	52	29	56	21	12	45	11	31
184	chr1	16644330	16645180	122	214	181	287	201	241	122	84	72	58	83	125
185	chr1	16678130	16678510	7	51	8	72	9	38	13	93	8	75	10	36
186	chr1	16727080	16727450	16	75	10	77	25	42	21	92	10	92	12	52
187	chr1	16872620	16872860	4	7	1	13	1	6	1	9	0	13	0	4
188	chr1	16889360	16889790	22	80	56	101	44	63	0	0	0	0	0	0
189	chr1	16895940	16896280	22	60	33	85	33	58	55	51	20	64	23	56
190	chr1	16904380	16905530	78	206	66	329	109	147	118	98	39	101	36	135
191	chr1	16913690	16914570	26	75	48	131	44	76	51	87	56	103	47	155
192	chr1	16960980	16961460	4	20	7	33	19	22	1	12	1	15	2	7
193	chr1	17055270	17055760	0	5	4	0	5	1	5	6	0	3	6	8
194	chr1	17128590	17129170	7	8	7	16	6	3	8	13	14	14	4	16
195	chr1	17167320	17167710	7	10	5	17	2	2	0	1	0	1	0	0
196	chr1	17167880	17168780	13	52	27	67	8	19	46	28	14	43	11	18
197	chr1	17189620	17190860	53	128	30	120	29	45	76	64	43	76	28	47
198	chr1	17201150	17202180	82	244	92	268	66	102	6	2	1	2	1	1
199	chr1	17232230	17234140	220	651	378	651	138	213	70	55	65	135	8	31
200	chr1	17250630	17251030	6	6	17	17	8	12	0	0	0	0	0	0
201	chr1	17369470	17369810	1	3	4	2	4	2	11	17	7	17	3	15
202	chr1	17520000	17520250	2	0	0	4	0	1	0	0	0	1	0	1
203	chr1	17545280	17545730	19	52	16	46	17	11	1	2	0	4	0	1
204	chr1	17551230	17552200	58	179	68	208	51	56	2	4	3	4	4	4
205	chr1	17553940	17554450	34	46	47	61	44	46	6	5	7	9	6	1
206	chr1	17569470	17570340	31	78	23	72	33	41	22	29	20	41	2	20
207	chr1	17768280	17768870	7	1	6	8	0	3	4	2	0	1	2	6
208	chr1	17873150	17873710	0	0	0	0	0	1	15	12	5	7	23	40
209	chr1	17874120	17874890	3	1	1	2	0	2	50	51	29	56	17	91
210	chr1	18667930	18668420	22	31	18	27	33	34	0	0	0	0	1	0
211	chr1	18922210	18922820	1	14	8	32	5	6	7	6	8	14	2	6
212	chr1	18926410	18927410	15	59	17	65	41	36	48	44	39	61	19	53
213	chr1	18927430	18927690	2	13	1	11	2	4	15	18	12	24	3	11
214	chr1	18941360	18941640	0	9	5	5	1	4	10	4	4	7	1	4
215	chr1	19009460	19011420	70	182	99	246	65	55	160	168	117	264	32	77
216	chr1	19033300	19034340	0	0	0	1	0	1	45	50	24	42	13	71
217	chr1	19034360	19034750	0	0	0	0	0	0	14	13	23	23	7	26
218	chr1	19759380	19759810	4	14	8	19	13	8	29	24	11	18	13	20
219	chr1	20152340	20152600	4	18	3	14	13	9	4	6	2	6	2	5
220	chr1	20212310	20213170	19	21	15	35	21	12	1	1	0	1	2	3
221	chr1	20250570	20250950	2	2	2	8	1	1	0	0	0	0	0	0
222	chr1	20255850	20256110	2	6	2	7	4	5	4	2	1	0	1	0
223	chr1	20281640	20282460	0	0	0	2	0	0	36	29	20	42	13	28
224	chr1	20301780	20302800	0	0	0	1	2	3	22	25	3	8	3	49
225	chr1	20366320	20366540	0	1	0	0	0	0	5	2	5	2	1	7
226	chr1	20426970	20427230	4	4	6	8	3	1	3	3	9	7	2	7
227	chr1	20473090	20473650	14	28	24	32	32	16	1	1	0	0	1	1
228	chr1	20604750	20605160	7	14	4	21	16	9	19	13	5	20	3	6
229	chr1	20613630	20614210	15	47	20	35	20	23	23	14	14	34	5	18
230	chr1	20696300	20697400	63	132	66	98	88	116	149	169	99	112	84	203
231	chr1	20698290	20698790	7	10	1	11	15	13	69	81	16	33	32	66
232	chr1	21149770	21150480	9	20	9	24	8	11	82	24	16	36	14	22
233	chr1	21261560	21263120	93	221	120	230	186	172	71	94	44	70	66	126
234	chr1	21324300	21325110	37	78	14	64	37	48	65	58	23	46	15	73
235	chr1	21329480	21329800	3	6	2	11	3	7	2	2	0	3	1	3
236	chr1	21334130	21334990	27	55	27	73	45	53	17	22	9	17	4	30
237	chr1	21511540	21512380	1	0	0	0	0	0	25	18	5	17	8	18
238	chr1	21553400	21554180	0	0	0	1	0	0	37	53	14	49	7	37
239	chr1	21567380	21568330	0	0	0	0	0	1	50	65	20	53	21	70
240	chr1	21574430	21575510	1	0	0	0	0	3	64	151	24	62	34	179
241	chr1	21586770	21587200	5	9	3	8	8	6	15	9	3	10	7	5
242	chr1	21622320	21622890	7	31	22	35	26	22	9	9	2	16	1	16
243	chr1	21931010	21932270	34	111	54	98	67	90	76	188	44	92	77	197
244	chr1	21933570	21934050	14	44	12	55	38	23	49	72	15	41	30	78
245	chr1	21935720	21936230	17	63	15	56	32	44	49	103	16	56	30	99
246	chr1	21939380	21940030	4	4	3	5	5	3	6	22	1	6	8	35
247	chr1	21942310	21943300	0	0	1	0	0	0	65	63	9	15	66	164
248	chr1	21944120	21944820	0	0	0	0	0	0	57	62	9	11	41	96
249	chr1	22024760	22026220	131	275	209	297	187	208	181	197	115	175	68	194
250	chr1	22229310	22229940	4	4	3	2	2	2	0	1	1	3	0	0
251	chr1	22428650	22429250	0	8	5	6	3	6	9	12	3	10	2	19
252	chr1	22689540	22689850	1	1	2	1	1	0	9	5	6	5	1	1
253	chr1	22739690	22740330	31	51	34	62	29	17	24	11	10	29	5	12
254	chr1	22745820	22746430	32	68	42	76	28	24	21	11	11	27	2	14
255	chr1	22750100	22750730	39	51	48	58	26	20	27	11	15	18	8	13
256	chr1	23010570	23011280	18	28	14	21	41	28	65	33	10	16	18	36
257	chr1	23100230	23100860	20	39	10	41	19	33	4	8	3	4	2	9
258	chr1	23177430	23178200	43	99	48	100	69	78	66	87	40	114	14	61
259	chr1	23188270	23188680	25	50	13	50	52	49	51	43	30	95	2	10
260	chr1	23188700	23189020	17	20	15	34	26	27	24	15	18	53	2	8
261	chr1	23196870	23197570	31	83	44	60	64	53	107	57	41	98	27	32
262	chr1	23198520	23198840	7	12	8	9	10	12	13	11	1	18	2	5
263	chr1	23215790	23216580	48	59	33	71	70	73	4	1	0	0	0	0
264	chr1	23216840	23217960	58	112	69	122	170	127	10	6	2	5	4	4
265	chr1	23225050	23225330	15	19	12	22	9	12	0	0	0	1	0	0
266	chr1	23403890	23404250	2	5	2	1	2	4	7	0	4	2	2	5
267	chr1	23479060	23479400	9	15	3	13	7	8	1	1	1	1	1	1
268	chr1	23554180	23555330	163	449	300	452	262	350	131	136	121	186	48	160
269	chr1	23562200	23562630	25	41	38	64	37	47	5	7	7	5	1	5
270	chr1	23567900	23568370	9	12	17	15	16	11	11	13	9	20	2	8
271	chr1	23576640	23577920	120	216	122	217	140	158	13	7	6	15	2	5
272	chr1	23578210	23578670	14	41	21	52	50	38	0	1	0	1	0	0
273	chr1	23585540	23586150	14	36	16	30	18	27	6	3	3	6	0	3
274	chr1	23591420	23592050	13	41	8	45	13	37	0	0	1	0	0	0
275	chr1	23593390	23594150	14	31	14	29	16	16	0	2	0	0	0	0
276	chr1	23634980	23635790	16	46	34	56	25	28	0	0	3	4	1	2
277	chr1	23651160	23651540	4	13	12	11	5	10	0	0	0	0	0	0
278	chr1	23963500	23963870	39	114	26	97	68	72	77	72	29	93	16	47
279	chr1	24018670	24019290	7	30	11	33	22	28	18	10	5	7	4	9
280	chr1	24022590	24023070	15	20	8	17	28	17	8	3	2	3	0	1
281	chr1	24107760	24108780	35	97	53	85	77	75	7	6	2	6	2	3
282	chr1	24108800	24109230	19	38	14	51	37	30	8	6	4	4	0	3
283	chr1	24294310	24294660	1	5	3	3	3	5	0	0	0	0	0	0
284	chr1	24294680	24295230	6	25	5	27	29	19	0	2	0	0	0	2
285	chr1	24374890	24375590	1	5	4	4	10	12	37	25	3	21	14	21
286	chr1	24536510	24536750	8	12	8	13	10	15	1	1	2	1	0	0
287	chr1	24559000	24559630	7	40	18	31	34	28	0	4	0	0	2	6
288	chr1	24702820	24703350	0	0	0	0	0	0	34	23	23	63	2	9
289	chr1	24705290	24705990	5	18	2	14	15	5	31	19	19	30	7	22
290	chr1	24713140	24713760	1	2	0	1	0	1	27	21	22	40	2	21
291	chr1	24724410	24725370	22	43	28	65	32	24	14	17	13	10	5	28
292	chr1	24735290	24735830	0	0	0	0	1	0	1	2	0	0	5	9
293	chr1	24949280	24949880	0	0	1	0	2	0	10	21	10	21	1	20
294	chr1	25022200	25023300	15	53	23	45	19	31	19	21	14	29	5	10
295	chr1	25182560	25183300	0	0	0	0	0	0	19	10	11	17	8	14
296	chr1	25239530	25240480	154	426	198	510	289	392	79	109	68	133	41	125
297	chr1	25549300	25550270	4	16	3	17	12	16	42	27	25	46	15	43
298	chr1	25773430	25773950	7	24	8	17	8	9	1	0	0	0	1	0
299	chr1	25875110	25876190	17	60	54	80	63	56	79	97	71	134	41	107
300	chr1	25892470	25892870	11	45	11	50	24	25	49	65	25	71	17	40
301	chr1	25922430	25923430	9	28	22	44	29	27	23	27	27	31	4	18
302	chr1	26035210	26037020	20	57	21	49	122	147	147	171	30	44	51	154
303	chr1	26161770	26162180	1	8	5	12	4	11	4	7	4	14	4	6
304	chr1	26164090	26164730	3	10	4	14	6	6	22	18	17	19	6	22
305	chr1	26336320	26337080	4	18	11	15	2	8	13	20	5	16	7	14
306	chr1	26350700	26351130	4	3	1	8	3	1	2	4	0	5	0	5
307	chr1	26470330	26470700	13	37	18	57	22	36	12	26	12	28	17	31
308	chr1	26500110	26501720	208	519	295	570	379	416	221	274	153	204	110	258
309	chr1	26620160	26621890	218	623	363	622	411	591	421	520	263	404	236	664
310	chr1	26692130	26693390	110	314	141	345	176	237	157	125	95	152	78	146
311	chr1	26697670	26698380	53	193	65	158	133	131	117	106	58	135	43	75
312	chr1	26848690	26849650	31	94	25	88	62	60	7	23	6	23	3	34
313	chr1	26864280	26865880	174	569	263	639	359	510	364	454	347	634	153	353
314	chr1	26990700	26991850	41	109	38	89	79	68	12	18	4	7	6	9
315	chr1	27011090	27011650	18	48	12	48	44	26	39	57	12	40	7	34
316	chr1	27031330	27032120	0	1	1	1	0	1	16	31	16	31	12	23
317	chr1	27074150	27074690	4	9	18	15	9	12	0	1	0	0	0	0
318	chr1	27122620	27122930	1	14	6	10	3	9	1	10	3	7	0	2
319	chr1	27298830	27299980	3	4	9	14	9	11	35	58	19	28	29	74
320	chr1	27557210	27557610	16	36	27	55	35	38	10	8	7	10	4	15
321	chr1	27574890	27576270	35	121	75	134	56	80	125	213	86	213	41	165
322	chr1	27659500	27660340	27	63	29	67	42	50	59	60	29	49	37	69
323	chr1	28105110	28105390	2	9	5	15	2	6	0	0	2	0	0	0
324	chr1	28123270	28123650	8	8	2	9	15	3	0	0	0	0	2	1
325	chr1	28129080	28129460	5	7	6	9	12	6	0	0	0	0	0	0
326	chr1	28247110	28247540	5	17	23	23	7	42	6	4	4	6	1	25
327	chr1	28351980	28352700	4	12	3	12	5	3	23	25	19	28	8	26
328	chr1	28576910	28578160	204	579	188	553	345	419	273	580	213	627	160	532
329	chr1	28581230	28582250	183	636	406	667	476	516	314	521	272	477	151	638
330	chr1	28648020	28648960	62	221	79	352	96	198	178	199	56	147	59	203
331	chr1	28871950	28872350	2	11	7	2	7	4	0	0	1	0	0	0
332	chr1	29238500	29238870	4	8	6	16	7	7	3	2	1	1	5	4
333	chr1	29239260	29239620	7	16	6	18	7	6	4	2	2	3	4	4
334	chr1	29271650	29272250	17	44	18	57	36	36	85	30	24	22	13	19
335	chr1	29639950	29640550	0	1	0	1	0	0	7	11	8	14	5	3
336	chr1	29688100	29689290	0	1	0	1	0	0	29	15	7	16	22	23
337	chr1	29708430	29708760	6	18	4	7	5	7	2	2	5	1	0	1
338	chr1	29709330	29710200	23	49	21	42	25	29	25	30	14	24	5	29
339	chr1	30084000	30084390	1	6	1	4	6	1	17	8	7	13	1	9
340	chr1	30511370	30512850	1	1	2	2	0	0	81	67	60	184	7	30
341	chr1	30523250	30523650	0	0	0	0	0	0	1	7	1	8	0	3
342	chr1	30718220	30719100	39	113	67	136	82	121	34	52	46	38	18	58
343	chr1	30782510	30782750	0	0	0	1	0	1	3	3	1	6	1	7
344	chr1	30788340	30788960	0	0	0	0	0	0	3	3	0	0	8	5
345	chr1	30823910	30824830	45	79	110	133	62	66	35	24	31	35	12	37
346	chr1	30909820	30910660	0	0	0	0	1	1	6	17	7	13	2	13
347	chr1	31102380	31102890	6	15	3	11	10	10	0	0	0	0	0	0
348	chr1	31152310	31152570	5	7	1	5	12	3	1	0	0	1	0	0
349	chr1	31154490	31155750	84	338	138	344	200	236	154	268	140	228	82	251
350	chr1	31170860	31171150	8	15	4	13	11	6	14	10	3	10	2	9
351	chr1	31394660	31395000	2	6	3	9	5	8	2	6	2	6	1	4
352	chr1	31445130	31445410	10	29	15	13	18	11	0	0	0	0	0	0
353	chr1	31483430	31484150	3	22	7	16	11	20	0	2	0	0	1	0
354	chr1	31548990	31549660	9	30	6	33	24	33	19	11	7	20	11	10
355	chr1	31588590	31589430	0	3	0	2	0	0	118	147	105	170	60	140
356	chr1	31666250	31666860	40	52	26	67	49	45	43	37	28	42	10	44
357	chr1	31689770	31690380	7	16	9	23	7	9	28	21	16	19	4	31
358	chr1	31700960	31701860	13	42	18	58	17	13	50	49	33	116	4	24
359	chr1	31714690	31715890	77	283	100	275	131	139	32	65	24	74	7	27
360	chr1	31760360	31761220	12	34	27	50	28	21	34	36	35	78	3	25
